id	study_algorithm_engine_id	el_criteria_has_criterion_id	path	sequence
152	4	214	136.508-OR-G24.196.219-OR-G25.198-AND-26.204.205.214	58
153	4	215	136.508-OR-G24.196.219-OR-G25.198-AND-26.206.207.215	59
154	4	216	136.508-OR-G24.196.219-OR-G25.198-AND-26.208.209.216	60
155	4	217	136.508-OR-G24.196.219-OR-G25.198-AND-26.210.217	61
156	4	211	136.508-OR-G24.196.219-OR-G25.197-AND-26.199.211	62
157	4	212	136.508-OR-G24.196.219-OR-G25.197-AND-26.200.201.212	63
158	4	213	136.508-OR-G24.196.219-OR-G25.197-AND-26.202.203.213	64
159	4	214	136.508-OR-G24.196.219-OR-G25.197-AND-26.204.205.214	65
160	4	215	136.508-OR-G24.196.219-OR-G25.197-AND-26.206.207.215	66
161	4	218	136.508-OR-G24.196.219-OR-G25.197-AND-26.208.209.218	67
162	4	218	136.508-OR-G24.196.219-OR-G25.197-AND-26.210.218	68
163	4	495	136.495-OR-G24	69
164	4	223	136.509-OR-G25.220.221.222.223	70
165	4	496	136.496-OR-G25	71
166	4	225	136.510-OR-G26.224.225	72
167	4	497	136.497-OR-G26	73
168	4	226	136.226-AND-G4	74
169	5	232	227.228-AND-G1.229-OR-G2.230.231.232	1
170	5	237	227.228-AND-G1.229-OR-G2.233.234.235.236.237	2
171	5	232	227.228-AND-G1.238-OR-G2.230.231.232	3
172	5	237	227.228-AND-G1.238-OR-G2.233.234.235.236.237	4
173	5	247	227.246-OR-G3.247	5
174	5	249	227.250-OR-G3.248.249	6
175	5	468	227.251-OR-G4.252-OR-G4.468-OR-G4	7
176	5	253	227.253-AND-G1	8
177	5	254	227.472-OR-G5.254	9
178	5	471	227.471-OR-G5	10
179	5	255	227.255-AND-G1	11
180	5	256	227.408-OR-G6.256	12
181	5	409	227.409-OR-G6	13
182	5	257	227.412-OR-G7.257	14
183	5	413	227.413-OR-G7	15
184	5	258	227.424-OR-G8.258	16
185	5	425	227.425-OR-G8	17
186	5	259	227.428-OR-G9.259	18
187	5	429	227.429-OR-G9	19
188	5	260	227.434-OR-G10.260	20
189	5	435	227.435-OR-G10	21
190	5	261	227.440-OR-G11.261	22
191	5	441	227.441-OR-G11	23
192	5	262	227.262-AND-G1	24
193	5	263	227.263-AND-G1	25
194	5	264	227.454-OR-G12.264	26
195	5	455	227.455-OR-G12	27
196	5	265	227.442-OR-G13.265	28
197	5	443	227.443-OR-G13	29
198	5	266	227.456-OR-G14.266	30
199	5	457	227.457-OR-G14	31
200	5	267	227.458-OR-G15.267	32
201	5	459	227.459-OR-G15	33
202	5	268	227.460-OR-G16.268	34
203	5	461	227.461-OR-G16	35
204	5	269	227.269-AND-G1	36
205	5	482	227.481-OR-G17.511-AND-G18.482	37
206	5	271	227.481-OR-G17.511-AND-G18.512.270-OR-G19.271-OR-G19	38
207	5	284	227.483-OR-G20.513-AND-G21.272.292-OR-G22.245-AND-G23.295.284	39
208	5	285	227.483-OR-G20.513-AND-G21.272.292-OR-G22.245-AND-G23.273.274.285	40
209	5	286	227.483-OR-G20.513-AND-G21.272.292-OR-G22.245-AND-G23.275.276.286	41
210	5	287	227.483-OR-G20.513-AND-G21.272.292-OR-G22.245-AND-G23.277.278.287	42
211	5	288	227.483-OR-G20.513-AND-G21.272.292-OR-G22.245-AND-G23.279.280.288	43
212	5	289	227.483-OR-G20.513-AND-G21.272.292-OR-G22.245-AND-G23.281.282.289	44
213	5	290	227.483-OR-G20.513-AND-G21.272.292-OR-G22.245-AND-G23.283.290	45
214	5	284	227.483-OR-G20.513-AND-G21.272.292-OR-G22.242-AND-G23.295.284	46
215	5	285	227.483-OR-G20.513-AND-G21.272.292-OR-G22.242-AND-G23.274.273.285	47
216	5	286	227.483-OR-G20.513-AND-G21.272.292-OR-G22.242-AND-G23.275.276.286	48
217	5	287	227.483-OR-G20.513-AND-G21.272.292-OR-G22.242-AND-G23.277.278.287	49
218	5	288	227.483-OR-G20.513-AND-G21.272.292-OR-G22.242-AND-G23.279.280.288	50
219	5	291	227.483-OR-G20.513-AND-G21.272.292-OR-G22.242-AND-G23.281.282.291	51
220	5	291	227.483-OR-G20.513-AND-G21.272.292-OR-G22.242-AND-G23.283.291	52
221	5	294	227.514-OR-G24.293.294	53
222	5	484	227.484-OR-G24	54
223	6	300	296.297-OR-G1.298.299.300	1
224	6	303	296.297-OR-G1.301.302.303	2
225	6	306	296.304-OR-G1.305.306	3
226	6	315	296.314-OR-G2.315	4
227	6	317	296.316-OR-G2.317	5
228	6	469	296.318-OR-G3.319-OR-G3.469-OR-G3	6
229	6	320	296.320-AND-G4	7
230	6	321	296.321-AND-G4	8
231	6	322	296.322-AND-G4	9
232	6	323	296.323-AND-G4	10
233	6	324	296.324-AND-G4	11
234	6	325	296.325-AND-G4	12
235	6	326	296.326-AND-G4	13
236	6	327	296.406-OR-G5.327	14
237	6	407	296.407-OR-G5	15
238	6	328	296.462-OR-G6.328	16
239	6	463	296.463-OR-G6	17
240	6	486	296.515-OR-G7.486	18
241	6	485	296.485-OR-G7	19
242	6	329	296.515-OR-G7.516.329	20
243	6	330	296.517-OR-G8.330	21
244	6	487	296.487-OR-G8	22
245	6	333	296.518-OR-G9.331.332-OR-G10.333-OR-G10	23
246	6	488	296.488-OR-G9	24
247	7	335	334.335-AND-G1	1
248	7	341	334.336-OR-G2.337.338.339.340.341	2
249	7	347	334.336-OR-G2.342.343.344.345.346.340.347	3
250	7	347	334.336-OR-G2.342.343.348.464.337.338.349.340.347	4
251	7	341	334.336-OR-G2.350.340.341	5
252	7	465	334.359-OR-G3.360-OR-G3.465-OR-G3	6
253	7	362	334.361-OR-G4.362-OR-G4	7
254	7	363	334.363-AND-G1	8
255	7	364	334.364-AND-G1	9
256	7	365	334.365-AND-G1	10
257	7	366	334.366-OR-G5	11
258	7	367	334.350-OR-G5.367	12
259	7	368	334.368-AND-G1	13
260	7	369	334.369-AND-G1	14
261	7	489	334.489-OR-G6	15
262	7	490	334.519-OR-G6.490	16
263	7	371	334.519-OR-G6.520.370-OR-G7.371-OR-G7	17
264	7	384	334.491-OR-G8.521-AND-G14.392-OR-G9.355-AND-G10.372.384	18
265	7	385	334.491-OR-G8.521-AND-G14.392-OR-G9.355-AND-G10.373.374.385	19
